,client_id,client_district_id,client_age,client_gender,disp_id,account_id,type,alltime_sum_trans_amount_by_account_id,alltime_mean_trans_amount_by_account_id,alltime_total_nbr_trans,mean_trans_amount_of_Household,mean_trans_amount_of_Insurance_payment,mean_trans_amount_of_Interest_credited,mean_trans_amount_of_Loan_payment,mean_trans_amount_of_Old-age_pension,mean_trans_amount_of_Payment_for_statement,mean_trans_amount_of_Sanction_interest_if_negative_balance,mean_trans_amount_of_Unknown_Transaction_Type,nbr_trans_Household,nbr_trans_Insurance_payment,nbr_trans_Interest_credited,nbr_trans_Loan_payment,nbr_trans_Old-age_pension,nbr_trans_Payment_for_statement,nbr_trans_Sanction_interest_if_negative_balance,nbr_trans_Unknown_Transaction_Type,mean_trans_amount_of_Credit,mean_trans_amount_of_Unknown_Transaction_Type,mean_trans_amount_of_Withdrawal,nbr_trans_Credit,nbr_trans_Unknown_Transaction_Type,nbr_trans_Withdrawal,1yr_sum_trans_amount_by_account_id,1yr_mean_trans_amount_by_account_id,1yr_total_nbr_trans,3yr_sum_trans_amount_by_account_id,3yr_mean_trans_amount_by_account_id,3yr_total_nbr_trans,trans_ratio_98_97,trans_ratio_97_96,sum_order_amount_by_account_id,mean_order_amount_by_account_id,total_nbr_orders,mean_order_amount_of_Household,mean_order_amount_of_Insurance_payment,mean_order_amount_of_Leasing,mean_order_amount_of_Loan_payment,mean_order_amount_of_Unknown_Order_Type,nbr_orders_Household,nbr_orders_Insurance_payment,nbr_orders_Leasing,nbr_orders_Loan_payment,nbr_orders_Unknown_Order_Type,account_district_id,statement_freq,account_date_opened,loan_id,loan_amount,loan_duration,monthly_loan_payment,loan_status,num_days_since_grant,card_id,card_type,card_issued_date,district_id,district_name,region,total_inhabitants,num_munipalities_less_499,500_to999,2000_to_9999,greater_than0000,num_cities,ratio_urban,avg_salary,unemp_rate_95,unemp_rate_96,enterpreneurs_per000,num_crimes95,num_crimes96
2475,3358,16,23.252054794520546,M,3358,2781,OWNER,690827.8999999997,2568.1334572490696,269.0,,,186.49761904761903,,,14.600000000000012,,3649.256684491979,,,42.0,,,40.0,,187.0,2431.778571428571,,2750.7304347826093,154.0,,115.0,179864.2,2366.634210526316,76.0,594621.7999999998,2541.1188034188026,234.0,0.6296945916008139,2.969013399358252,,,,,,,,,,,,,,16,MONTHLY,900,,,,,,,,,,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913
3464,4397,63,25.115068493150684,M,4397,3646,DISPONENT,4006596.9,12252.58990825688,327.0,2855.0,,267.0763157894736,,,30.0,,17787.547945205482,35.0,,38.0,,,35.0,,219.0,17451.247008547012,13119.857142857143,8777.170329670329,117.0,28.0,182.0,1144958.8,11116.104854368934,103.0,3938679.1,12346.956426332285,319.0,0.6236978069396804,27.029127857498327,6037.0,3018.5,2.0,2855.0,,,,3182.0,1.0,,,,1.0,63,WEEKLY,1022,,,,,,,,,,63,Vyskov,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
3463,4396,63,24.16712328767123,F,4396,3646,OWNER,4006596.9,12252.58990825688,327.0,2855.0,,267.0763157894736,,,30.0,,17787.547945205482,35.0,,38.0,,,35.0,,219.0,17451.247008547012,13119.857142857143,8777.170329670329,117.0,28.0,182.0,1144958.8,11116.104854368934,103.0,3938679.1,12346.956426332285,319.0,0.6236978069396804,27.029127857498327,6037.0,3018.5,2.0,2855.0,,,,3182.0,1.0,,,,1.0,63,WEEKLY,1022,,,,,,,,,,63,Vyskov,south Moravia,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460
3825,150,2,18.27397260273973,F,150,125,OWNER,1902746.4000000004,12684.976000000002,150.0,,,183.3357142857143,,,100.0,,19338.908163265307,,,28.0,,,24.0,,98.0,14906.096969696966,17049.333333333332,10206.666666666666,66.0,9.0,75.0,647325.5,10788.758333333333,60.0,1902746.4000000004,12684.976000000002,150.0,0.6233918654659133,,4422.1,4422.1,1.0,,,4422.1,,,,,1.0,,,2,TRANSACTION,1345,,,,,,,,,,2,Benesov,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674
4722,215,71,31.29315068493151,M,215,176,OWNER,2890719.1999999993,10550.070072992698,274.0,4564.0,97.0,198.43448275862067,2288.3,,30.0,,17648.63870967742,26.0,26.0,29.0,12.0,,26.0,,155.0,18064.275609756092,10709.666666666666,7175.200000000003,82.0,9.0,183.0,1002432.9,9030.927027027028,111.0,2890719.1999999993,10550.070072992698,274.0,0.6228806813782808,,6985.3,1746.325,4.0,4564.0,97.0,,2288.3,36.0,1.0,1.0,,1.0,1.0,71,WEEKLY,1319,5005.0,27456.0,12.0,2288.0,A,1560.0,,,,71,Novy Jicin,north Moravia,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595
4589,10960,28,56.901369863013706,M,10652,8896,OWNER,3384064.1,14278.75147679325,237.0,,,172.24754098360657,,,100.0,,22473.046666666665,,,61.0,,,26.0,,150.0,13497.662204724422,14568.294117647061,15292.473118279568,127.0,17.0,93.0,932775.1,12437.001333333335,75.0,3384064.1,14278.75147679325,237.0,0.6222218234654597,,2474.6,2474.6,1.0,,,2474.6,,,,,1.0,,,28,TRANSACTION,1217,,,,,,,,,,28,Plzen - sever,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525
786,7065,5,27.50684931506849,F,7065,5837,OWNER,1801959.4000000015,10415.950289017352,173.0,,,209.44137931034493,4939.0,,14.600000000000005,,16712.825242718445,,,29.0,15.0,,26.0,,103.0,12921.419718309859,16077.4,7867.006521739124,71.0,10.0,92.0,358298.79999999993,6285.943859649121,57.0,1801959.4000000015,10415.950289017352,173.0,0.6213575328884446,,4939.0,4939.0,1.0,,,,4939.0,,,,,1.0,,5,MONTHLY,1294,6196.0,177804.0,36.0,4939.0,C,1717.0,,,,5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
2061,1700,7,49.84931506849315,M,1700,1404,OWNER,3675545.5,6575.215563506261,559.0,6306.0,53.0,207.59523809523807,,,30.0,,10502.826366559486,62.0,62.0,63.0,,,61.0,,311.0,11247.539156626508,11428.142857142857,4349.498680738786,166.0,14.0,379.0,880191.2999999998,7789.30353982301,113.0,2717513.4,7899.748255813954,344.0,0.618587363573151,5.7349133136218695,9086.0,1817.2,5.0,6306.0,53.0,2121.0,,303.0,1.0,1.0,1.0,,2.0,7,WEEKLY,264,,,,,,,,,,7,Melnik,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846
2062,1701,7,53.59452054794522,F,1701,1404,DISPONENT,3675545.5,6575.215563506261,559.0,6306.0,53.0,207.59523809523807,,,30.0,,10502.826366559486,62.0,62.0,63.0,,,61.0,,311.0,11247.539156626508,11428.142857142857,4349.498680738786,166.0,14.0,379.0,880191.2999999998,7789.30353982301,113.0,2717513.4,7899.748255813954,344.0,0.618587363573151,5.7349133136218695,9086.0,1817.2,5.0,6306.0,53.0,2121.0,,303.0,1.0,1.0,1.0,,2.0,7,WEEKLY,264,,,,,,,,,,7,Melnik,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846
1891,4077,68,43.85479452054796,F,4077,3371,OWNER,4116512.100000005,11694.636647727286,352.0,11549.0,,168.53387096774202,,,14.600000000000017,,19972.93604651163,58.0,,62.0,,,60.0,,172.0,14011.750675675676,13702.894736842105,9634.691891891904,148.0,19.0,185.0,365057.7,8112.3933333333325,45.0,2167707.300000003,11349.252879581167,191.0,0.6120854866115307,0.8326732441040127,11549.0,11549.0,1.0,11549.0,,,,,1.0,,,,,68,MONTHLY,307,,,,,,,,,,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
1224,3456,54,53.98082191780822,F,3456,2860,OWNER,1357391.1,13850.929591836735,98.0,,,182.53157894736844,,,30.0,,21483.222222222223,,,19.0,,,16.0,,63.0,15809.161363636365,23108.0,12050.566037735847,44.0,1.0,53.0,514887.1,9534.946296296297,54.0,1357391.1,13850.929591836735,98.0,0.6111390569065548,,,,,,,,,,,,,,,54,WEEKLY,1610,,,,,,,,,,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696
2812,10636,64,27.432876712328767,M,10328,8625,OWNER,6332027.299999991,11533.747358834229,549.0,8151.0,,203.04596774193558,1970.8000000000006,,14.600000000000017,,20416.18374558304,59.0,,124.0,24.0,,59.0,,283.0,13086.628395061729,13837.9375,10105.412413793116,243.0,16.0,290.0,599117.7999999998,7488.972499999997,80.0,3039383.800000003,10199.274496644306,298.0,0.6105506042854875,0.6001767977130423,10121.8,5060.9,2.0,8151.0,,,1970.8,,1.0,,,1.0,,64,MONTHLY,313,6745.0,47304.0,24.0,1971.0,A,829.0,1064.0,classic,1142.0,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265
780,5249,5,28.008219178082193,F,5249,4358,OWNER,2076373.600000001,15611.831578947376,133.0,,,266.4347826086957,,,14.6,,23257.741573033712,,,23.0,,,21.0,,89.0,17761.16393442623,14719.428571428567,13690.870769230763,61.0,7.0,65.0,785508.7,11901.646969696967,66.0,2076373.600000001,15611.831578947376,133.0,0.6085134858032007,,2542.0,2542.0,1.0,,,2542.0,,,,,1.0,,,5,MONTHLY,1503,,,,,,,774.0,classic,1819.0,5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
1770,8362,74,23.31232876712329,F,8362,6927,OWNER,1459570.6,8636.512426035504,169.0,11742.307692307693,,106.53513513513512,,,30.0,1.9,15745.13698630137,26.0,,37.0,,,31.0,2.0,73.0,10488.455555555554,9107.555555555555,7073.1113636363625,72.0,9.0,88.0,368387.4,7223.282352941177,51.0,1417534.3,8539.36325301205,166.0,0.607847741143047,14.417351194087011,,,,,,,,,,,,,,74,WEEKLY,1071,,,,,,,,,,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
1324,4026,76,53.30684931506849,F,4026,3330,OWNER,3548599.200000001,14308.867741935488,248.0,5713.0,,232.94871794871798,,,14.600000000000007,,23146.42068965517,32.0,,39.0,,,32.0,,145.0,17136.085714285713,13771.166666666664,12165.570802919718,105.0,6.0,137.0,865768.0999999999,12193.91690140845,71.0,3516428.0000000014,14774.907563025215,238.0,0.6070974253366417,44.327774531257774,9364.7,4682.35,2.0,5713.0,,3651.7,,,1.0,,1.0,,,76,MONTHLY,918,,,,,,,,,,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807
313,2167,1,17.063013698630137,M,2167,1788,OWNER,535455.7999999993,2035.953612167298,263.0,,,93.23,,,14.600000000000017,,3574.722972972973,,,60.0,,,55.0,,148.0,2080.4391608391606,,1982.9416666666687,143.0,,120.0,57890.7,1315.6977272727272,44.0,292107.10000000003,1947.380666666667,150.0,0.606679577708332,0.7167073382319474,,,,,,,,,,,,,,1,MONTHLY,368,,,,,,,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1829,39,68,30.95616438356164,M,39,31,OWNER,5807677.4999999935,15163.648825065258,383.0,10202.0,,210.82000000000005,,,14.600000000000017,,23776.41628959276,53.0,,55.0,,,54.0,,221.0,17746.878658536592,13653.392857142857,13166.986387434572,164.0,28.0,191.0,743209.8999999998,13271.605357142851,56.0,3212776.100000004,14215.823451327446,226.0,0.6042735195617935,0.7268212533002999,10202.0,10202.0,1.0,10202.0,,,,,1.0,,,,,68,MONTHLY,481,,,,,,,,,,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887
3415,12325,8,34.194520547945196,M,12017,10019,OWNER,2606930.800000003,10427.723200000013,250.0,,,193.36666666666665,5415.0,,14.60000000000001,,17267.852112676057,,,42.0,27.0,,39.0,,142.0,13275.741414141408,13303.866666666667,8037.311764705878,99.0,15.0,136.0,475068.2,7917.803333333332,60.0,1726259.6000000006,8545.839603960401,202.0,0.603092570179107,0.8944543661698031,5415.0,5415.0,1.0,,,,5415.0,,,,,1.0,,8,MONTHLY,895,7036.0,194940.0,36.0,5415.0,C,1363.0,,,,8,Mlada Boleslav,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987
3300,12890,70,40.97534246575343,F,12582,10478,OWNER,2308494.1,11961.109326424868,193.0,,,199.8121212121212,5575.300000000002,,30.0,,17637.102362204725,,,33.0,11.0,,22.0,,127.0,12854.953846153845,14941.0,10968.951546391758,91.0,5.0,97.0,850955.2000000002,10377.50243902439,82.0,2308494.1,11961.109326424868,193.0,0.6023943853604371,,5575.3,5575.3,1.0,,,,5575.3,,,,,1.0,,70,WEEKLY,1149,7147.0,267600.0,48.0,5575.0,C,1827.0,,,,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
5236,3391,42,27.756164383561643,M,3391,2807,OWNER,871006.7999999998,7990.888073394493,109.0,,,157.5777777777778,,,14.6,,14440.516666666665,,,27.0,,,22.0,,60.0,9551.268085106385,9279.333333333334,6543.235714285711,47.0,6.0,56.0,292268.1,6353.654347826086,46.0,871006.7999999998,7990.888073394493,109.0,0.5995222170507305,,,,,,,,,,,,,,,42,MONTHLY,1372,,,,,,,,,,42,Havlickuv Brod,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668
2828,1474,45,27.06575342465753,F,1474,1221,OWNER,1535336.2000000004,12688.728925619836,121.0,,,158.3,,,14.599999999999996,6.0,18912.395061728395,,,20.0,,,17.0,3.0,81.0,14387.5,13160.357142857143,10833.32452830188,54.0,14.0,53.0,574809.6,8709.23636363636,66.0,1535336.2000000004,12688.728925619836,121.0,0.5984317352585551,,3213.4,3213.4,1.0,,,3213.4,,,,,1.0,,,45,MONTHLY,1462,,,,,,,,,,45,Jicin,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122
5095,614,14,51.94520547945206,F,614,511,OWNER,919168.9999999995,8356.081818181816,110.0,,,177.98461538461544,,,14.600000000000005,,15236.516666666665,,,26.0,,,24.0,,60.0,9643.236734693879,,7322.137704918028,49.0,,61.0,260167.80000000005,5420.162500000001,48.0,919168.9999999995,8356.081818181816,110.0,0.5969100917363839,,2629.6,2629.6,1.0,,,2629.6,,,,,1.0,,,14,MONTHLY,1409,,,,,,,,,,14,Ceske Budejovice,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295
4257,296,65,24.854794520547944,M,296,245,OWNER,3190180.900000005,9785.830981595103,326.0,,,145.80333333333334,,,14.600000000000017,1.7,15365.26570048309,,,60.0,,,56.0,3.0,207.0,10928.548648648648,10524.5,8436.963194444446,148.0,34.0,144.0,646511.2999999998,9105.792957746477,71.0,2023272.4000000013,9774.262801932371,207.0,0.5940635117682705,5.64016658987763,,,,,,,,,,,,,,65,MONTHLY,328,,,,,,,,,,65,Znojmo,south Moravia,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718
1669,1999,74,16.9013698630137,F,1999,1649,OWNER,791860.5999999985,4212.024468085098,188.0,,,116.92647058823529,,,14.600000000000012,,10584.297297297297,,,68.0,,,46.0,,74.0,4410.75,,4021.579166666665,92.0,,96.0,125741.90000000002,4335.927586206897,29.0,476342.79999999976,4811.543434343434,99.0,0.5934827385694705,3.9500867869441127,,,,,,,,,,,,,,46,MONTHLY,25,,,,,,,314.0,junior,756.0,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
2433,7339,19,24.85753424657534,F,7339,6075,OWNER,407793.19999999984,3185.8843749999987,128.0,3368.181818181818,,59.222222222222214,8499.0,,14.6,,5671.777777777777,22.0,,27.0,3.0,,22.0,,54.0,3275.615384615385,,3093.304761904764,65.0,,63.0,138388.10000000006,2767.762000000001,50.0,407793.19999999984,3185.8843749999987,128.0,0.5922596477292764,,8499.0,8499.0,1.0,,,,8499.0,,,,,1.0,,19,MONTHLY,1353,6237.0,407952.0,48.0,8499.0,D,1831.0,,,,19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099
2029,3589,73,37.49589041095891,F,3589,2972,OWNER,4555198.1000000015,13930.26941896025,327.0,,,252.44833333333332,,,14.600000000000017,,20633.477272727272,,,60.0,,,47.0,,220.0,16539.992142857143,9452.739130434782,12330.4036585366,140.0,23.0,164.0,855993.8999999998,12056.252112676053,71.0,3028466.5000000014,13828.614155251147,219.0,0.5912493505535471,1.1865628730108413,3554.8,3554.8,1.0,,,3554.8,,,,,1.0,,,12,MONTHLY,326,,,,,,,563.0,classic,658.0,73,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433
1494,1763,46,31.09041095890411,M,1763,1454,OWNER,45000.0,2647.0588235294117,17.0,,,,,,,,2647.0588235294117,,,,,,,,17.0,2864.285714285714,,1633.333333333333,14.0,,3.0,16700.0,1518.1818181818182,11.0,45000.0,2647.0588235294117,17.0,0.5901060070671378,,,,,,,,,,,,,,,46,MONTHLY,1666,,,,,,,,,,46,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618
695,11545,1,32.964383561643835,F,11237,9377,OWNER,2787620.5000000014,8033.488472622483,347.0,2758.0,,219.274025974026,4164.0,,14.600000000000007,,14248.285714285714,34.0,,77.0,20.0,,34.0,,182.0,10182.835251798564,10581.625,6437.767000000003,139.0,8.0,200.0,743518.3,6759.257272727273,110.0,2636863.600000001,7918.509309309314,333.0,0.589907365797989,8.360469073057354,10905.0,3635.0,3.0,2758.0,,,4164.0,3983.0,1.0,,,1.0,1.0,1,MONTHLY,989,6913.0,99936.0,24.0,4164.0,C,1579.0,1105.0,classic,1807.0,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107
1988,180,73,16.96164383561644,M,180,150,OWNER,544393.9999999995,2231.1229508196693,244.0,,,156.25652173913045,,,14.600000000000012,,3439.6987179487182,,,46.0,,,42.0,,156.0,2169.852307692308,,2300.992982456141,130.0,,114.0,138485.7,1871.4283783783785,74.0,492779.7999999995,2439.503960396037,202.0,0.5897804555108429,4.5493081361330825,,,,,,,,,,,,,,73,MONTHLY,804,,,,,,,,,,73,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433
4812,4131,48,22.5972602739726,M,4131,3417,OWNER,502909.5999999996,2255.199999999998,223.0,,,99.41025641025637,,,14.60000000000001,,3368.290540540541,,,39.0,,,36.0,,148.0,1985.1060606060607,,2646.984615384617,132.0,,91.0,109049.30000000002,1787.6934426229514,61.0,474519.0999999996,2270.426315789472,209.0,0.5857430148152841,6.5575667917084965,,,,,,,,,,,,,,48,MONTHLY,1000,,,,,,,,,,48,Rychnov nad Kneznou,east Bohemia,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717
4114,2123,53,16.638356164383563,M,2123,1751,OWNER,300640.3,2226.9651851851845,135.0,,,125.83333333333331,,,14.600000000000005,,3493.023529411765,,,27.0,,,23.0,,85.0,2350.0625,,2086.282539682541,72.0,,63.0,101484.20000000004,1585.6906250000006,64.0,300640.3,2226.9651851851845,135.0,0.5856781419743254,,,,,,,,,,,,,,,53,MONTHLY,1372,,,,,,,,,,53,Blansko,south Moravia,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903
834,8615,12,59.76164383561644,F,8615,7136,OWNER,3127560.6,8252.138786279684,379.0,1080.0,547.0,216.8744186046512,2059.0,,30.0,,15382.953846153847,38.0,38.0,43.0,27.0,,38.0,,195.0,15480.025490196082,12816.263157894737,5058.484496124031,102.0,19.0,258.0,662806.6,6137.098148148147,108.0,2486118.1,7465.820120120121,333.0,0.5832321032109916,1.7716897461580732,5921.0,1480.25,4.0,1080.0,547.0,,2059.0,2235.0,1.0,1.0,,1.0,1.0,12,WEEKLY,828,6461.0,74124.0,36.0,2059.0,C,1357.0,,,,12,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868
3167,1247,70,29.249315068493146,F,1247,1039,DISPONENT,5955593.500000001,14179.984523809526,420.0,,,288.33088235294116,,,30.0,,20253.30034129693,,,68.0,,,59.0,,293.0,16293.201612903227,13878.631578947368,12233.010204081631,186.0,38.0,196.0,931900.3,12765.757534246577,73.0,3444570.4000000013,14175.186831275725,243.0,0.5803876856458382,1.6103332829869563,,,,,,,,,,,,,,70,WEEKLY,129,,,,,,,,,,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
3166,1246,70,36.14246575342465,M,1246,1039,OWNER,5955593.500000001,14179.984523809526,420.0,,,288.33088235294116,,,30.0,,20253.30034129693,,,68.0,,,59.0,,293.0,16293.201612903227,13878.631578947368,12233.010204081631,186.0,38.0,196.0,931900.3,12765.757534246577,73.0,3444570.4000000013,14175.186831275725,243.0,0.5803876856458382,1.6103332829869563,,,,,,,,,,,,,,70,WEEKLY,129,,,,,,,208.0,gold,768.0,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
888,4815,15,28.30958904109589,M,4815,3994,OWNER,2406746.600000002,15329.596178343962,157.0,,,199.41666666666663,,,14.6,,21443.339285714286,,,24.0,,,21.0,,112.0,16360.093333333334,16279.125,14182.521621621616,75.0,8.0,74.0,870765.9999999997,12805.382352941171,68.0,2406746.600000002,15329.596178343962,157.0,0.5797837724250513,,,,,,,,,,,,,,,15,MONTHLY,1168,,,,,,,,,,15,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
889,4816,15,24.846575342465755,F,4816,3994,DISPONENT,2406746.600000002,15329.596178343962,157.0,,,199.41666666666663,,,14.6,,21443.339285714286,,,24.0,,,21.0,,112.0,16360.093333333334,16279.125,14182.521621621616,75.0,8.0,74.0,870765.9999999997,12805.382352941171,68.0,2406746.600000002,15329.596178343962,157.0,0.5797837724250513,,,,,,,,,,,,,,,15,MONTHLY,1168,,,,,,,,,,15,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879
3501,2543,3,46.37808219178083,F,2543,2099,DISPONENT,4869950.0,12391.730279898218,393.0,,,257.8569444444445,,,30.0,0.3,19319.97609561753,,,72.0,,,69.0,1.0,251.0,14189.786857142859,12657.416666666664,10610.276373626371,175.0,36.0,182.0,588489.3999999999,9974.396610169491,59.0,2590843.5,12954.2175,200.0,0.5787048323068061,2.4469313009207023,,,,,,,,,,,,,,3,WEEKLY,11,,,,,,,,,,3,Beroun,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813
3500,2542,3,54.07123287671233,M,2542,2099,OWNER,4869950.0,12391.730279898218,393.0,,,257.8569444444445,,,30.0,0.3,19319.97609561753,,,72.0,,,69.0,1.0,251.0,14189.786857142859,12657.416666666664,10610.276373626371,175.0,36.0,182.0,588489.3999999999,9974.396610169491,59.0,2590843.5,12954.2175,200.0,0.5787048323068061,2.4469313009207023,,,,,,,,,,,,,,3,WEEKLY,11,,,,,,,405.0,classic,2068.0,3,Beroun,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813
2954,4959,77,19.7013698630137,M,4959,4119,OWNER,627166.0999999993,1978.44195583596,317.0,,,144.46612903225804,,,14.600000000000017,,3118.065656565657,,,62.0,,,57.0,,198.0,2036.0475903614465,,1915.1139072847686,166.0,,151.0,114161.40000000002,1756.3292307692313,65.0,402963.3999999997,2055.935714285713,196.0,0.5786429832795721,1.4828736955717834,,,,,,,,,,,,,,77,MONTHLY,290,,,,,,,,,,77,Vsetin,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590
1648,1218,74,18.610958904109584,M,1218,1014,OWNER,392656.0999999997,2454.1006249999978,160.0,,,100.2939393939394,,,14.600000000000007,,3968.6020408163267,,,33.0,,,29.0,,98.0,2633.9582278481007,,2278.683950617285,79.0,,81.0,125304.30000000002,2278.26,55.0,392656.0999999997,2454.1006249999978,160.0,0.5766942516187614,,,,,,,,,,,,,,,74,MONTHLY,1174,,,,,,,,,,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347
2348,2185,20,41.56164383561644,F,2185,1804,OWNER,3919165.5,11165.713675213674,351.0,,,216.4206349206349,,,30.0,,17196.920704845816,,,63.0,,,61.0,,227.0,13617.59246575343,13399.0,8655.988372093023,146.0,33.0,172.0,633045.3999999999,10550.756666666664,60.0,2875500.1,13011.312669683259,221.0,0.5762944575191292,3.5372031227258027,,,,,,,,,,,,,,20,WEEKLY,265,,,,,,,,,,20,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542
2656,13673,39,27.882191780821923,M,13365,11123,OWNER,1043600.6999999995,7147.949999999998,146.0,,,86.19399999999996,,,14.600000000000005,4.3,15057.072463768116,,,50.0,,,23.0,4.0,69.0,7137.434246575343,13954.333333333336,5400.9137931034475,73.0,15.0,58.0,306532.1999999999,4944.067741935482,62.0,1043600.6999999995,7147.949999999998,146.0,0.5760941349816852,,,,,,,,,,,,,,,39,MONTHLY,1297,,,,,,,,,,39,Most,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743
785,6804,5,17.58082191780822,M,6804,5632,DISPONENT,4506990.799999999,13825.125153374229,326.0,,,215.28163265306117,4760.0,,30.0,,22750.645502645504,,,49.0,41.0,,47.0,,189.0,16747.77794117647,13263.458333333336,11511.867469879518,136.0,24.0,166.0,867227.4,12568.513043478259,69.0,3888030.0999999987,15552.120399999994,250.0,0.5757764071651622,2.5191190003187818,4760.0,4760.0,1.0,,,,4760.0,,,,,1.0,,5,WEEKLY,683,6153.0,285600.0,60.0,4760.0,C,935.0,,,,5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
784,6803,5,18.07945205479452,F,6803,5632,OWNER,4506990.799999999,13825.125153374229,326.0,,,215.28163265306117,4760.0,,30.0,,22750.645502645504,,,49.0,41.0,,47.0,,189.0,16747.77794117647,13263.458333333336,11511.867469879518,136.0,24.0,166.0,867227.4,12568.513043478259,69.0,3888030.0999999987,15552.120399999994,250.0,0.5757764071651622,2.5191190003187818,4760.0,4760.0,1.0,,,,4760.0,,,,,1.0,,5,WEEKLY,683,6153.0,285600.0,60.0,4760.0,C,935.0,,,,5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040
3150,750,70,42.284931506849325,F,750,624,OWNER,5643693.899999998,14397.178316326523,392.0,,,232.9444444444444,,,14.600000000000017,,20845.02592592593,,,63.0,,,59.0,,270.0,16139.616477272719,13553.333333333336,12925.05757575759,176.0,18.0,198.0,777651.1999999998,11782.593939393935,66.0,3635791.200000002,15876.817467248917,229.0,0.5729641641731912,1.025369085858915,,,,,,,,,,,,,,70,MONTHLY,283,,,,,,,,,,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108
